X,Y,Area
1113,8,14.5
25,7,1.0
1195,8,23.0
1090,6,1.5
899,6,9.5
467,12,48.5
1218,2,3.0
1106,3,3.5
1273,5,61.0
1229,0,2.0
1135,0,2.0
1129,2,16.0
1119,0,2.0
1079,2,12.0
988,0,0.5
979,0,6.0
909,1,6.5
901,0,8.5
889,3,13.5
673,484,829001.0
515,0,2.0
500,5,22.5
479,15,101.5
475,1,4.0
350,120,8661.0
449,2,1.5
423,4,84.0
411,8,67.0
396,2,48.0
371,2,29.5
354,5,89.5
333,8,86.0
322,0,1.0
313,8,14.0
302,2,11.5
274,7,62.5
246,1,11.5
231,4,36.0
233,34,829.5
140,24,737.5
107,2,0.5
75,0,2.0
46,11,241.0
24,3,1.0
